Ward_code,Borough_code,Borough_name,Ward_name,candidate,party,party_long,number_votes,elected_flag,Number of councillors in ward
E05000047,E09000003,Barnet,Coppetts,"Newby, Andrew J.",GRE,Green Party,469,,3
E05000047,E09000003,Barnet,Coppetts,"Bullen, David L.",LD,Liberal Democrats,218,,3
E05000047,E09000003,Barnet,Coppetts,"Boo, Enrique M.",LD,Liberal Democrats,197,,3
E05000047,E09000003,Barnet,Coppetts,"Akhavan, Mehdi",IND,Independent,163,,3
E05000047,E09000003,Barnet,Coppetts,"Rees, Melvyn K.",LD,Liberal Democrats,153,,3
E05000048,E09000003,Barnet,East Barnet,"Challice, Rebecca Ms.",LAB,Labour Party,2108,Yes,3
E05000048,E09000003,Barnet,East Barnet,"Williams, Laurie",LAB,Labour Party,2044,Yes,3
E05000048,E09000003,Barnet,East Barnet,"Cohen, Philip",LAB,Labour Party,1993,Yes,3
E05000048,E09000003,Barnet,East Barnet,"Evangeli, Barry*",CON,Conservative Party,1894,,3
E05000048,E09000003,Barnet,East Barnet,"Tambourides, Joanna Ms.*",CON,Conservative Party,1873,,3
E05000048,E09000003,Barnet,East Barnet,"Rams, Robert*",CON,Conservative Party,1820,,3
E05000048,E09000003,Barnet,East Barnet,"Aitken, Roger L.",GRE,Green Party,638,,3
E05000048,E09000003,Barnet,East Barnet,"Varvarides, Pennie Ms.",GRE,Green Party,576,,3
E05000048,E09000003,Barnet,East Barnet,"Pressland, Kevin R.",GRE,Green Party,505,,3
E05000048,E09000003,Barnet,East Barnet,"Roberts, Deborah E. Ms.",LD,Liberal Democrats,194,,3
E05000048,E09000003,Barnet,East Barnet,"Umbo, Eileen M. Ms.",LD,Liberal Democrats,175,,3
E05000048,E09000003,Barnet,East Barnet,"Giltinane, Joe A.",LD,Liberal Democrats,173,,3
E05000049,E09000003,Barnet,East Finchley,"Moore, Alison Ms.*",LAB,Labour Party,2711,Yes,3
E05000049,E09000003,Barnet,East Finchley,"Mittra, Arjun K.*",LAB,Labour Party,2565,Yes,3
E05000049,E09000003,Barnet,East Finchley,"Or-Bach, Alon",LAB,Labour Party,2201,Yes,3
E05000049,E09000003,Barnet,East Finchley,"Stepanenko, Stepan",CON,Conservative Party,1013,,3
E05000049,E09000003,Barnet,East Finchley,"Gupta, Anshul",CON,Conservative Party,988,,3
E05000049,E09000003,Barnet,East Finchley,"Maund, Alan R.",CON,Conservative Party,988,,3
